GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 14:54:48 BST 2017

Gene	Score	Description
SNRNP200	CEBPZ	0.01217144077514274	Co-expression	Wang-Maris-2006
SNRNP200	CNOT1	0.010813081441987152	Co-expression	Wang-Maris-2006
SNRNP200	HNRNPA1	0.010806546812705348	Co-expression	Wang-Maris-2006
SNRNP200	PNN	0.011172437611943229	Co-expression	Wang-Maris-2006
SP3	ADAM17	0.01641796300524999	Co-expression	Wang-Maris-2006
SP3	ADNP	0.010937539037701727	Co-expression	Wang-Maris-2006
SP3	BCLAF1	0.009273904633075964	Co-expression	Wang-Maris-2006
SP3	CNOT2	0.019215317183838315	Co-expression	Wang-Maris-2006
SP3	DHX29	0.011906403186910932	Co-expression	Wang-Maris-2006
SP3	KDM6A	0.016495412513798085	Co-expression	Wang-Maris-2006
SP3	MFAP1	0.01564126733509083	Co-expression	Wang-Maris-2006
SP3	RBM12	0.014123054901282078	Co-expression	Wang-Maris-2006
SP3	RBPJ	0.010724813084112383	Co-expression	Wang-Maris-2006
SP3	RLF	0.014655614385605665	Co-expression	Wang-Maris-2006
SP3	SCAF8	0.017312655686672285	Co-expression	Wang-Maris-2006
SP3	SMNDC1	0.012903232061727152	Co-expression	Wang-Maris-2006
SP3	SNRNP200	0.008187843433574689	Co-expression	Wang-Maris-2006
SP3	SRRM1	0.017445995893999828	Co-expression	Wang-Maris-2006
SP3	TCF12	0.01349069405774828	Co-expression	Wang-Maris-2006
SP3	YTHDF3	0.016507986294805224	Co-expression	Wang-Maris-2006
SP3	ZFX	0.014511271254887175	Co-expression	Wang-Maris-2006
SP3	ZNF292	0.013360217378533427	Co-expression	Wang-Maris-2006
SP3	ZNF638	0.018622642985365576	Co-expression	Wang-Maris-2006
SPARC	CALD1	0.011418892715784026	Co-expression	Wang-Maris-2006
SPARC	MYOF	0.007305208987378005	Co-expression	Wang-Maris-2006
SPARC	PALLD	0.020595126681544167	Co-expression	Wang-Maris-2006
SPG11	BNIP2	0.018262239807667956	Co-expression	Wang-Maris-2006
SPG11	DMTF1	0.014705721283523378	Co-expression	Wang-Maris-2006
SPG11	GABPA	0.020553795826044313	Co-expression	Wang-Maris-2006
SPG11	PAN2	0.01961722975503798	Co-expression	Wang-Maris-2006
SPG11	PHF3	0.014474719404980897	Co-expression	Wang-Maris-2006
SPG11	PNISR	0.012918454848441242	Co-expression	Wang-Maris-2006
SPG11	PPWD1	0.018672032963243476	Co-expression	Wang-Maris-2006
SPG11	SMC5	0.021971098304210637	Co-expression	Wang-Maris-2006
SPG11	TANK	0.019611397513633017	Co-expression	Wang-Maris-2006
SPG11	TCF12	0.022875843090361038	Co-expression	Wang-Maris-2006
SPG11	UPF2	0.0218379241787456	Co-expression	Wang-Maris-2006
SPG11	USP8	0.024984970638915503	Co-expression	Wang-Maris-2006
SPG11	YTHDC2	0.021023786736700238	Co-expression	Wang-Maris-2006
SREK1	BNIP2	0.01910140855442384	Co-expression	Wang-Maris-2006
SREK1	CHD1	0.022332893801522254	Co-expression	Wang-Maris-2006
SREK1	PHKB	0.019219098314241345	Co-expression	Wang-Maris-2006
SREK1	PNISR	0.01043006829473278	Co-expression	Wang-Maris-2006
SREK1	PNN	0.019424093157131086	Co-expression	Wang-Maris-2006
SREK1	PPWD1	0.02035627328295177	Co-expression	Wang-Maris-2006
SREK1	PRPF4B	0.02739358669004736	Co-expression	Wang-Maris-2006
SREK1	RBM39	0.014235573979113594	Co-expression	Wang-Maris-2006
SREK1	SCAF11	0.015345413257271243	Co-expression	Wang-Maris-2006
SREK1	SLC35A3	0.01800395067911593	Co-expression	Wang-Maris-2006
SREK1	SMC5	0.01869397514531141	Co-expression	Wang-Maris-2006
SREK1	SRSF11	0.018702473000609576	Co-expression	Wang-Maris-2006
SRPK2	MGEA5	0.023514872120674407	Co-expression	Wang-Maris-2006
SRPK2	PUM1	0.014201725111519584	Co-expression	Wang-Maris-2006
SRRM1	IFRD1	0.026002842085711086	Co-expression	Wang-Maris-2006
SRRM1	SF3A3	0.03264402118640666	Co-expression	Wang-Maris-2006
SRRM1	SPEN	0.02063633159163162	Co-expression	Wang-Maris-2006
SRRM1	SRSF4	0.019071199647649726	Co-expression	Wang-Maris-2006
SRRM2	SETD2	0.012535072861050557	Co-expression	Wang-Maris-2006
SRSF1	CHD1	0.011975181838220755	Co-expression	Wang-Maris-2006
SRSF1	CPSF6	0.012624352934271084	Co-expression	Wang-Maris-2006
SRSF1	DHX15	0.013748109872506638	Co-expression	Wang-Maris-2006
SRSF1	HNRNPA2B1	0.009840512975236328	Co-expression	Wang-Maris-2006
SRSF1	KIAA0907	0.012385404038607745	Co-expression	Wang-Maris-2006
SRSF1	NEK4	0.013278500950134473	Co-expression	Wang-Maris-2006
SRSF1	PAPOLA	0.012482925924255076	Co-expression	Wang-Maris-2006
SRSF1	PIGA	0.015171893695357215	Co-expression	Wang-Maris-2006
SRSF1	PNN	0.013238941634501337	Co-expression	Wang-Maris-2006
SRSF1	RBM39	0.008922148092345006	Co-expression	Wang-Maris-2006
SRSF1	SNRNP200	0.008365580782788583	Co-expression	Wang-Maris-2006
SRSF1	SREK1	0.012330868291023235	Co-expression	Wang-Maris-2006
SRSF1	TCERG1	0.00998271918599059	Co-expression	Wang-Maris-2006
SRSF1	TOP2B	0.0152638961271073	Co-expression	Wang-Maris-2006
SRSF10	JMJD1C	0.015695451542733038	Co-expression	Wang-Maris-2006
SRSF10	PAPOLA	0.018150819638160016	Co-expression	Wang-Maris-2006
SRSF10	PRPF4B	0.023627093635168937	Co-expression	Wang-Maris-2006
SRSF10	SLC35A3	0.016386403299327505	Co-expression	Wang-Maris-2006
SRSF11	DMTF1	0.0134136832821203	Co-expression	Wang-Maris-2006
SRSF11	KIAA0907	0.01737139607340921	Co-expression	Wang-Maris-2006
SRSF11	KRIT1	0.019158716485096663	Co-expression	Wang-Maris-2006
SRSF11	LUC7L3	0.017625652180733413	Co-expression	Wang-Maris-2006
SRSF11	MAP4K5	0.016034032947713037	Co-expression	Wang-Maris-2006
SRSF11	MON2	0.010845714451946075	Co-expression	Wang-Maris-2006
SRSF11	NEK1	0.01609147097584482	Co-expression	Wang-Maris-2006
SRSF11	PHF3	0.010102565933997373	Co-expression	Wang-Maris-2006
SRSF11	PNISR	0.010579949563558046	Co-expression	Wang-Maris-2006
SRSF11	POT1	0.011763727794895096	Co-expression	Wang-Maris-2006
SRSF11	PRPF4B	0.02197387602336103	Co-expression	Wang-Maris-2006
SRSF11	RBM39	0.010684370766576932	Co-expression	Wang-Maris-2006
SRSF11	SLC11A2	0.018414099526680314	Co-expression	Wang-Maris-2006
SRSF11	ZFC3H1	0.0189460555802368	Co-expression	Wang-Maris-2006
SRSF2	CPSF6	0.013149156395615693	Co-expression	Wang-Maris-2006
SRSF2	HNRNPA2B1	0.009476525197339648	Co-expression	Wang-Maris-2006
SRSF2	KIAA0907	0.01496244785855234	Co-expression	Wang-Maris-2006
SRSF2	MAGOH	0.011967261117394795	Co-expression	Wang-Maris-2006
SRSF2	MAML1	0.01379214509433428	Co-expression	Wang-Maris-2006
SRSF2	PAPOLA	0.014443718841328846	Co-expression	Wang-Maris-2006
SRSF2	PCNA	0.010152168358257729	Co-expression	Wang-Maris-2006
SRSF2	PNN	0.013635167285925733	Co-expression	Wang-Maris-2006
SRSF2	PRPF4B	0.016924165297994054	Co-expression	Wang-Maris-2006
SRSF2	ROCK1	0.013432876809363779	Co-expression	Wang-Maris-2006
SRSF2	SRSF1	0.011332886531278126	Co-expression	Wang-Maris-2006
SRSF2	TCERG1	0.011589951498101943	Co-expression	Wang-Maris-2006
SRSF3	AMD1	0.027562359078724792	Co-expression	Wang-Maris-2006
SRSF3	CPSF6	0.021802341139703932	Co-expression	Wang-Maris-2006
SRSF3	DDX3X	0.02805303686937122	Co-expression	Wang-Maris-2006
SRSF3	DEK	0.014771654398922286	Co-expression	Wang-Maris-2006
SRSF3	PAPOLA	0.025881585717896293	Co-expression	Wang-Maris-2006
SRSF3	PCNA	0.015553588567827951	Co-expression	Wang-Maris-2006
SRSF3	SRSF1	0.016313887806111323	Co-expression	Wang-Maris-2006
SRSF3	SRSF2	0.01727574260871506	Co-expression	Wang-Maris-2006
SRSF3	TRA2B	0.016912369333709647	Co-expression	Wang-Maris-2006
SRSF4	IFRD1	0.01587615276118488	Co-expression	Wang-Maris-2006
SRSF4	SRSF10	0.014018041339620257	Co-expression	Wang-Maris-2006
SRSF5	FNBP4	0.022376340816753524	Co-expression	Wang-Maris-2006
SRSF5	HNRNPA1	0.018601945033250907	Co-expression	Wang-Maris-2006
SRSF5	LUC7L3	0.025436179074937646	Co-expression	Wang-Maris-2006
SRSF5	PPFIA1	0.037547383342565396	Co-expression	Wang-Maris-2006
SRSF5	SLC25A36	0.03394122571774916	Co-expression	Wang-Maris-2006
SRSF5	SRRM2	0.01774192332464202	Co-expression	Wang-Maris-2006
SRSF5	SRSF6	0.026054548905570928	Co-expression	Wang-Maris-2006
SRSF6	SRRM2	0.018854645507129647	Co-expression	Wang-Maris-2006
SRSF7	CHD1	0.020162080681202448	Co-expression	Wang-Maris-2006
SRSF7	CNOT2	0.02262865376628642	Co-expression	Wang-Maris-2006
SRSF7	HNRNPH3	0.01772160459278007	Co-expression	Wang-Maris-2006
SRSF7	PDS5A	0.014262147077114372	Co-expression	Wang-Maris-2006
SRSF7	PHKB	0.018031001262471407	Co-expression	Wang-Maris-2006
SRSF7	PNN	0.02010647232158926	Co-expression	Wang-Maris-2006
SRSF7	PPP2R5E	0.012328623417848378	Co-expression	Wang-Maris-2006
SRSF7	RBM12	0.01966070860262623	Co-expression	Wang-Maris-2006
SRSF7	SEC24B	0.021028437028850374	Co-expression	Wang-Maris-2006
SRSF7	SNRNP200	0.012141878203616877	Co-expression	Wang-Maris-2006
SRSF7	STRN3	0.020986320052534663	Co-expression	Wang-Maris-2006
SRSF7	TCF12	0.018458970693882564	Co-expression	Wang-Maris-2006
SSFA2	ABCA8	0.01483110755365246	Co-expression	Wang-Maris-2006
SSFA2	TGOLN2	0.020278560811454707	Co-expression	Wang-Maris-2006
STAG1	ABL1	0.012377304779779592	Co-expression	Wang-Maris-2006
STAG1	ADNP	0.009357868702680816	Co-expression	Wang-Maris-2006
STAG1	AMD1	0.015032084599485107	Co-expression	Wang-Maris-2006
STAG1	CPSF6	0.009599002958851613	Co-expression	Wang-Maris-2006
STAG1	GNA13	0.007733186722882285	Co-expression	Wang-Maris-2006
STAG1	MAP4K5	0.012312656030784056	Co-expression	Wang-Maris-2006
STAG1	NUDT21	0.00882111495932122	Co-expression	Wang-Maris-2006
STAG1	PAPOLA	0.013599102609482803	Co-expression	Wang-Maris-2006
STAG1	POT1	0.01043822499020505	Co-expression	Wang-Maris-2006
STAG1	PPP1CB	0.009623004556014607	Co-expression	Wang-Maris-2006
STAG1	PRPF4B	0.014987612028752867	Co-expression	Wang-Maris-2006
STAG1	ROCK1	0.011015733146600055	Co-expression	Wang-Maris-2006
STAG1	SF3A1	0.010388466864198595	Co-expression	Wang-Maris-2006
STAG1	SRSF10	0.011236031741111858	Co-expression	Wang-Maris-2006
STAG1	STAG2	0.012472415710389559	Co-expression	Wang-Maris-2006
STAG1	TOP2B	0.015151109934280252	Co-expression	Wang-Maris-2006
STAG1	U2SURP	0.011054493193269885	Co-expression	Wang-Maris-2006
STAG2	AMD1	0.026490818278060765	Co-expression	Wang-Maris-2006
STAG2	GNA13	0.014153197375311186	Co-expression	Wang-Maris-2006
STAG2	JMJD1C	0.01779279558314278	Co-expression	Wang-Maris-2006
STAG2	MAP4K5	0.02603159362414172	Co-expression	Wang-Maris-2006
STAG2	MFN1	0.016919149625746407	Co-expression	Wang-Maris-2006
STAG2	PAPOLA	0.019267428136230256	Co-expression	Wang-Maris-2006
STAG2	ROCK1	0.018821571688227328	Co-expression	Wang-Maris-2006
STAG2	SRSF10	0.019259276284812308	Co-expression	Wang-Maris-2006
STK3	ANXA4	0.005996059710082604	Co-expression	Wang-Maris-2006
STK3	CALD1	0.007478211619494989	Co-expression	Wang-Maris-2006
STK3	CLIC4	0.013872575772314339	Co-expression	Wang-Maris-2006
STK3	EPS8	0.009250651788309765	Co-expression	Wang-Maris-2006
STK3	LPP	0.011518581969737044	Co-expression	Wang-Maris-2006
STRN3	MLH3	0.02922242203129894	Co-expression	Wang-Maris-2006
STRN3	PNN	0.018904346888499745	Co-expression	Wang-Maris-2006
STRN3	SEC24A	0.02501780225510167	Co-expression	Wang-Maris-2006
STRN3	ZFX	0.0245832878142923	Co-expression	Wang-Maris-2006
STXBP3	ITGA6	0.016883473857664845	Co-expression	Wang-Maris-2006
STXBP3	PDE4B	0.013939164911070142	Co-expression	Wang-Maris-2006
STXBP3	PJA2	0.008154984829085865	Co-expression	Wang-Maris-2006
STXBP3	PTPN12	0.013165610956143362	Co-expression	Wang-Maris-2006
STXBP3	RAPGEF4	0.013658847791487882	Co-expression	Wang-Maris-2006
STXBP3	SERINC1	0.007624671601952655	Co-expression	Wang-Maris-2006
STXBP3	SSFA2	0.012216677322442502	Co-expression	Wang-Maris-2006
STXBP3	TANK	0.010662011303829455	Co-expression	Wang-Maris-2006
STXBP3	TPP1	0.010589114514337273	Co-expression	Wang-Maris-2006
SUZ12	CRLF3	0.026696948013677623	Co-expression	Wang-Maris-2006
SUZ12	HNRNPH3	0.015643669986035065	Co-expression	Wang-Maris-2006
SUZ12	HNRNPR	0.015023196451810055	Co-expression	Wang-Maris-2006
SUZ12	NUP153	0.015275042988112416	Co-expression	Wang-Maris-2006
SUZ12	PDS5A	0.012302343731138027	Co-expression	Wang-Maris-2006
SUZ12	RAD21	0.015002326881770797	Co-expression	Wang-Maris-2006
SUZ12	SMC3	0.013139165187570507	Co-expression	Wang-Maris-2006
SUZ12	SMCHD1	0.01823055138830203	Co-expression	Wang-Maris-2006
SUZ12	SRRM1	0.02399278098412525	Co-expression	Wang-Maris-2006
SUZ12	ZCCHC11	0.015046685963230326	Co-expression	Wang-Maris-2006
SYK	GSAP	0.01812661043866889	Co-expression	Wang-Maris-2006
SYK	HCLS1	0.011921960905381074	Co-expression	Wang-Maris-2006
SYK	LAPTM5	0.010740640685609096	Co-expression	Wang-Maris-2006
SYK	LYN	0.017294212295841122	Co-expression	Wang-Maris-2006
SYK	RIT1	0.015359855459231561	Co-expression	Wang-Maris-2006
SYK	SAT1	0.027736648153268432	Co-expression	Wang-Maris-2006
SYK	TNFAIP3	0.020048392110255792	Co-expression	Wang-Maris-2006
TANK	C1orf63	0.01788221267389987	Co-expression	Wang-Maris-2006
TANK	GSAP	0.01572026140496022	Co-expression	Wang-Maris-2006
TANK	KIAA1033	0.01750851049106218	Co-expression	Wang-Maris-2006
TANK	KRIT1	0.017995090211751295	Co-expression	Wang-Maris-2006
TANK	MLH3	0.017417695544629002	Co-expression	Wang-Maris-2006
TANK	PPIG	0.015497094438281407	Co-expression	Wang-Maris-2006
TANK	RAP1A	0.013012436422386179	Co-expression	Wang-Maris-2006
TANK	SF3B1	0.013077651233729748	Co-expression	Wang-Maris-2006
TANK	SSFA2	0.015137113385317657	Co-expression	Wang-Maris-2006
TANK	USP8	0.01444744737914208	Co-expression	Wang-Maris-2006
TANK	YTHDF3	0.016939543094446483	Co-expression	Wang-Maris-2006
TCERG1	BCLAF1	0.009317927398763918	Co-expression	Wang-Maris-2006
TCERG1	CHD1	0.01495219783960475	Co-expression	Wang-Maris-2006
TCERG1	DHX29	0.011516889318755016	Co-expression	Wang-Maris-2006
TCERG1	HNRNPA2B1	0.009396963681106698	Co-expression	Wang-Maris-2006
TCERG1	OGT	0.018187930630336725	Co-expression	Wang-Maris-2006
TCERG1	PNISR	0.007906091781905048	Co-expression	Wang-Maris-2006
TCERG1	PNN	0.014916753202115173	Co-expression	Wang-Maris-2006
TCERG1	PRPF4B	0.017827570357120254	Co-expression	Wang-Maris-2006
TCERG1	RBM39	0.011165298167878802	Co-expression	Wang-Maris-2006
TCERG1	RBPJ	0.01044061795304064	Co-expression	Wang-Maris-2006
TCERG1	RCN2	0.013968176644418696	Co-expression	Wang-Maris-2006
TCERG1	U2SURP	0.014559988601221933	Co-expression	Wang-Maris-2006
TCF12	ANKRD28	0.01705297562252178	Co-expression	Wang-Maris-2006
TCF12	RBPJ	0.013878604543923265	Co-expression	Wang-Maris-2006
TCF12	SETD2	0.014719962803233169	Co-expression	Wang-Maris-2006
TERF1	C2CD5	0.014707739178152813	Co-expression	Wang-Maris-2006
TERF1	DAAM1	0.03154816876910296	Co-expression	Wang-Maris-2006
TERF1	DMTF1	0.0184651724674316	Co-expression	Wang-Maris-2006
TERF1	MORC3	0.031700144745419066	Co-expression	Wang-Maris-2006
TERF1	PHF3	0.017684503288712006	Co-expression	Wang-Maris-2006
TERF1	PNISR	0.014300565963958308	Co-expression	Wang-Maris-2006
TERF1	PPIP5K2	0.02283876393054131	Co-expression	Wang-Maris-2006
TERF1	RAD21	0.02061642114434833	Co-expression	Wang-Maris-2006
TERF1	REV3L	0.019324005306708057	Co-expression	Wang-Maris-2006
TERF1	SLC35A1	0.016675521373606995	Co-expression	Wang-Maris-2006
TERF1	SMCHD1	0.021568162945541047	Co-expression	Wang-Maris-2006
TERF1	UBR5	0.02439781312630896	Co-expression	Wang-Maris-2006
TERF1	UPF3A	0.031497887485229616	Co-expression	Wang-Maris-2006
TERF1	YTHDC2	0.017430708058556257	Co-expression	Wang-Maris-2006
TERF1	YTHDF3	0.033004673486898034	Co-expression	Wang-Maris-2006
TERF1	ZDHHC17	0.01738531650151816	Co-expression	Wang-Maris-2006
TERF1	ZMYM2	0.021407186716292693	Co-expression	Wang-Maris-2006
TERF1	ZNF451	0.018424285880913945	Co-expression	Wang-Maris-2006
THUMPD1	ATXN2	0.027746159107927874	Co-expression	Wang-Maris-2006
THUMPD1	CTBP2	0.021848848213251854	Co-expression	Wang-Maris-2006
THUMPD1	MAP3K7	0.022496716950697042	Co-expression	Wang-Maris-2006
THUMPD1	MARK3	0.019237267669999374	Co-expression	Wang-Maris-2006
THUMPD1	RBPJ	0.01735135968071352	Co-expression	Wang-Maris-2006
THUMPD1	SEC24A	0.02698027259898674	Co-expression	Wang-Maris-2006
THUMPD1	SMC5	0.020545309042870316	Co-expression	Wang-Maris-2006
THUMPD1	STRN3	0.02989325989032855	Co-expression	Wang-Maris-2006
TIA1	C1orf63	0.02067605422109622	Co-expression	Wang-Maris-2006
TIA1	DDX5	0.015487269312098722	Co-expression	Wang-Maris-2006
TIA1	DMTF1	0.013577560407900403	Co-expression	Wang-Maris-2006
TIA1	IFRD1	0.016455467057834627	Co-expression	Wang-Maris-2006
TIA1	JMJD1C	0.012749306007542132	Co-expression	Wang-Maris-2006
TIA1	LUC7L3	0.015746938304125064	Co-expression	Wang-Maris-2006
TIA1	MAP4K5	0.019465421244599896	Co-expression	Wang-Maris-2006
TIA1	MFN1	0.015917724435385368	Co-expression	Wang-Maris-2006
TIA1	MON2	0.011752715183395502	Co-expression	Wang-Maris-2006
TIA1	PAN2	0.012444579006218225	Co-expression	Wang-Maris-2006
TIA1	PNISR	0.008881837256284036	Co-expression	Wang-Maris-2006
TIA1	RBM5	0.019043771228057053	Co-expression	Wang-Maris-2006
TIA1	SF3B1	0.011621996301464493	Co-expression	Wang-Maris-2006
TIA1	SRRM1	0.018465593208149944	Co-expression	Wang-Maris-2006
TIA1	SRSF10	0.013410666128284798	Co-expression	Wang-Maris-2006
TIA1	SRSF11	0.01377364219083572	Co-expression	Wang-Maris-2006
TIA1	UPF3A	0.015923760127071897	Co-expression	Wang-Maris-2006
TIA1	WSB1	0.02357352116238695	Co-expression	Wang-Maris-2006
TIA1	ZFC3H1	0.01647473255388519	Co-expression	Wang-Maris-2006
TIMP3	AHR	0.013292847655023851	Co-expression	Wang-Maris-2006
TIMP3	ANXA1	0.012962340596592629	Co-expression	Wang-Maris-2006
TIMP3	ANXA4	0.011054387316082537	Co-expression	Wang-Maris-2006
TIMP3	IFITM2	0.016195291516127648	Co-expression	Wang-Maris-2006
TIMP3	KCTD12	0.01732745911668355	Co-expression	Wang-Maris-2006
TIMP3	PALLD	0.028113202792094644	Co-expression	Wang-Maris-2006
TMED10	TPP1	0.020064401017785737	Co-expression	Wang-Maris-2006
TMX1	C6orf120	0.029103274903137962	Co-expression	Wang-Maris-2006
TNFAIP3	CTSH	0.016875009218739183	Co-expression	Wang-Maris-2006
TNFAIP3	KLF6	0.023029740080220122	Co-expression	Wang-Maris-2006
TNFAIP3	LAPTM5	0.010237923343946591	Co-expression	Wang-Maris-2006
TOP2B	BCLAF1	0.015643004274569525	Co-expression	Wang-Maris-2006
TOP2B	CPSF6	0.02008432530522424	Co-expression	Wang-Maris-2006
TOP2B	DHX15	0.029426420383013654	Co-expression	Wang-Maris-2006
TOP2B	HNRNPA1	0.018763268650394998	Co-expression	Wang-Maris-2006
TOP2B	PAPOLA	0.029618649066738854	Co-expression	Wang-Maris-2006
TOP2B	SNRNP200	0.013294673171495885	Co-expression	Wang-Maris-2006
TOP2B	TCERG1	0.016682301665643755	Co-expression	Wang-Maris-2006
TOP2B	U2SURP	0.025680452278309784	Co-expression	Wang-Maris-2006
TRA2A	AUTS2	0.031157242513107995	Co-expression	Wang-Maris-2006
TRA2A	DMTF1	0.016914489645487626	Co-expression	Wang-Maris-2006
TRA2A	MARK3	0.02463478426379297	Co-expression	Wang-Maris-2006
TRA2B	CRY1	0.014866752873392565	Co-expression	Wang-Maris-2006
TRA2B	HNRNPA2B1	0.009861882866886381	Co-expression	Wang-Maris-2006
TRA2B	MAGOH	0.012533597500505306	Co-expression	Wang-Maris-2006
TRA2B	PAXIP1	0.014058112740996116	Co-expression	Wang-Maris-2006
TRA2B	SRSF1	0.010157620687402212	Co-expression	Wang-Maris-2006
TRA2B	SRSF2	0.010765840148205407	Co-expression	Wang-Maris-2006
TRA2B	ZBTB11	0.014484312016556073	Co-expression	Wang-Maris-2006
TRAK1	DIDO1	0.028746348372428773	Co-expression	Wang-Maris-2006
TRAM1	ANXA4	0.0075773202789370005	Co-expression	Wang-Maris-2006
TRAM1	C6orf120	0.016674422465283424	Co-expression	Wang-Maris-2006
TRAM1	CALD1	0.009032304655682393	Co-expression	Wang-Maris-2006
TRAM1	CLIC4	0.016846056998058023	Co-expression	Wang-Maris-2006
TRAM1	CREG1	0.014687311109064715	Co-expression	Wang-Maris-2006
TRAM1	HEXB	0.010275229482311745	Co-expression	Wang-Maris-2006
TRAM1	KIAA1033	0.013910564230331282	Co-expression	Wang-Maris-2006
TRAM1	MYOF	0.006357148667470815	Co-expression	Wang-Maris-2006
TRAM1	RAP1A	0.01346856364956951	Co-expression	Wang-Maris-2006
TRAM1	SEC24A	0.013331479680258001	Co-expression	Wang-Maris-2006
TRAM1	STK3	0.00896644212507505	Co-expression	Wang-Maris-2006
TRAM1	TMED10	0.01677943049088316	Co-expression	Wang-Maris-2006
TRIM52	FNBP4	0.019065934852608324	Co-expression	Wang-Maris-2006
TRIM52	LUC7L3	0.022197236752212766	Co-expression	Wang-Maris-2006
TRIM52	MAP3K7	0.015147219466651077	Co-expression	Wang-Maris-2006
TRIM52	N4BP2L2	0.026408771069952326	Co-expression	Wang-Maris-2006
TRIM52	PNISR	0.0103323706391143	Co-expression	Wang-Maris-2006
TRIM52	PPWD1	0.01753789314057033	Co-expression	Wang-Maris-2006
TRIM52	SCAF11	0.015205559872902468	Co-expression	Wang-Maris-2006
TRIM52	SLC26A2	0.02523033998258017	Co-expression	Wang-Maris-2006
TRIM52	SMG1	0.02369594010323928	Co-expression	Wang-Maris-2006
TRIM52	UBXN7	0.01166640382346725	Co-expression	Wang-Maris-2006
TRIM52	UPF2	0.017376943207616874	Co-expression	Wang-Maris-2006
TRIM52	YTHDC2	0.014438409757790772	Co-expression	Wang-Maris-2006
TRIM52	ZFC3H1	0.019959607514591738	Co-expression	Wang-Maris-2006
U2SURP	DIDO1	0.019468154675253622	Co-expression	Wang-Maris-2006
U2SURP	RBM12	0.016172595045600837	Co-expression	Wang-Maris-2006
UBR5	DMTF1	0.014664033352019138	Co-expression	Wang-Maris-2006
UBR5	FNBP4	0.02009178930092831	Co-expression	Wang-Maris-2006
UBR5	JMJD1C	0.01697712326788477	Co-expression	Wang-Maris-2006
UBR5	KAT6A	0.020806692830127017	Co-expression	Wang-Maris-2006
UBR5	LUC7L3	0.021856928095862715	Co-expression	Wang-Maris-2006
UBR5	MAML1	0.022758719392891574	Co-expression	Wang-Maris-2006
UBR5	MARK3	0.015755206412846764	Co-expression	Wang-Maris-2006
UBR5	MORC3	0.0233242544310155	Co-expression	Wang-Maris-2006
UBR5	N4BP2L2	0.02581102030254902	Co-expression	Wang-Maris-2006
UBR5	OGT	0.026948963399873533	Co-expression	Wang-Maris-2006
UBR5	PNISR	0.013158076375647726	Co-expression	Wang-Maris-2006
UBR5	PPWD1	0.017600993176198003	Co-expression	Wang-Maris-2006
UBR5	RBM5	0.02626366534668183	Co-expression	Wang-Maris-2006
UBR5	SRSF11	0.014448086794312722	Co-expression	Wang-Maris-2006
UBR5	U2SURP	0.020914453662597775	Co-expression	Wang-Maris-2006
UBR5	UPF3A	0.022858338062053028	Co-expression	Wang-Maris-2006
UBXN7	FOXN3	0.012218999700486528	Co-expression	Wang-Maris-2006
UBXN7	SCAF11	0.00891132163093297	Co-expression	Wang-Maris-2006
UBXN7	SLC26A2	0.012255667807696557	Co-expression	Wang-Maris-2006
UBXN7	SLC35A3	0.0086863540600615	Co-expression	Wang-Maris-2006
UBXN7	SRSF10	0.010420768402440269	Co-expression	Wang-Maris-2006
UBXN7	TRAK1	0.014448591959977842	Co-expression	Wang-Maris-2006
UPF1	SETD2	0.015777559647524395	Co-expression	Wang-Maris-2006
UPF2	ABI1	0.02061538590073872	Co-expression	Wang-Maris-2006
UPF2	MAP3K7	0.014386578376534051	Co-expression	Wang-Maris-2006
UPF2	MGEA5	0.020793666476044553	Co-expression	Wang-Maris-2006
UPF2	PHF3	0.011285481923664919	Co-expression	Wang-Maris-2006
UPF2	RBPJ	0.013462552870162356	Co-expression	Wang-Maris-2006
UPF2	SEC24B	0.019214904747213095	Co-expression	Wang-Maris-2006
UPF2	THUMPD1	0.023214561512877607	Co-expression	Wang-Maris-2006
UPF3A	DMTF1	0.017508715325359265	Co-expression	Wang-Maris-2006
UPF3A	MARK3	0.01921643131633262	Co-expression	Wang-Maris-2006
UPF3A	N4BP2L2	0.035584187774547395	Co-expression	Wang-Maris-2006
UPF3A	NCOA6	0.02910943377220585	Co-expression	Wang-Maris-2006
UPF3A	PNISR	0.012359911856728772	Co-expression	Wang-Maris-2006
UPF3A	RBM5	0.027663082192271905	Co-expression	Wang-Maris-2006
USP8	ABI1	0.017245215378371148	Co-expression	Wang-Maris-2006
USP8	ANKRD28	0.014784784554168815	Co-expression	Wang-Maris-2006
USP8	BNIP2	0.011884451316734353	Co-expression	Wang-Maris-2006
USP8	MAP3K7	0.013933709121886854	Co-expression	Wang-Maris-2006
USP8	MLH3	0.018730063350018193	Co-expression	Wang-Maris-2006
USP8	N4BP2L2	0.020574376136839708	Co-expression	Wang-Maris-2006
USP8	PHF3	0.010127349499929661	Co-expression	Wang-Maris-2006
USP8	PHKB	0.014498910612270249	Co-expression	Wang-Maris-2006
USP8	SCAF11	0.013164827603358548	Co-expression	Wang-Maris-2006
USP8	SLC26A2	0.017880488190560862	Co-expression	Wang-Maris-2006
USP8	SMC5	0.014070429095116372	Co-expression	Wang-Maris-2006
USP8	SRSF11	0.011218454743996761	Co-expression	Wang-Maris-2006
USP8	TCF12	0.014284003450220009	Co-expression	Wang-Maris-2006
USP8	THUMPD1	0.017835796945376327	Co-expression	Wang-Maris-2006
