,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for VCP,Hsa2 MR for VCP,Hsa3 MR for VCP,Mmu MR for Vcp,Mmu2 MR for Vcp,Rno MR for Vcp,Cfa MR for VCP,Gga MR for VCP,Dre MR for vcp,Dme MR for TER94,Dme2 MR for TER94,Cel MR for cdc-48.2,Cel MR for cdc-48.1,Sce MR for CDC48,Spo MR for cdc48
384,PDCD11,"programmed cell death 11",22984,3,366.9,213.8 ,135.6 ,630.0 ,146.5 ,557.5 ,516.2 ,683.4 ,1927.2 ,,,,,,
385,LASP1,"LIM and SH3 protein 1",3927,3,368.2,153.7 ,108.4 ,2885.0 ,427.5 ,814.5 ,8826.2 ,631.2 ,629.5 ,1775.0 ,3395.2 ,15122.1 ,14267.4 ,,
386,PDIA5,"protein disulfide isomerase family A, member 5",10954,3,368.3,765.4 ,1462.2 ,1928.3 ,1556.2 ,7777.9 ,6987.6 ,896.8 ,689.5 ,658.1 ,1635.4 ,,,,
387,GLG1,"golgi glycoprotein 1",2734,3,368.8,186.2 ,3279.6 ,526.6 ,318.3 ,305.3 ,2763.3 ,1056.4 ,4230.5 ,1309.1 ,429.9 ,675.2 ,372.5 ,,
388,UPF1,"UPF1 regulator of nonsense transcripts homolog (yeast)",5976,3,369.4,825.7 ,700.3 ,2465.5 ,8504.7 ,,6953.9 ,3466.6 ,1619.7 ,1114.8 ,1042.0 ,693.5 ,637.0 ,995.2 ,2394.1 
389,PSMA7,"proteasome (prosome, macropain) subunit, alpha type, 7",5688,3,370.4,251.9 ,239.7 ,199.3 ,1137.8 ,387.2 ,1189.5 ,142.0 ,,,,657.6 ,818.4 ,,
390,GSS,"glutathione synthetase",2937,3,371.4,401.4 ,1696.2 ,1623.6 ,1325.5 ,2817.4 ,8920.5 ,2380.7 ,,11997.0 ,5371.4 5930.1 ,1061.4 ,1283.5 ,150.5 ,1856.3 
391,XRN2,"5'-3' exoribonuclease 2",22803,1,371.5,433.0 ,1695.1 ,565.2 ,955.9 ,1458.0 ,3033.0 ,433.9 ,1756.9 ,1752.4 ,4567.3 ,270.5 ,646.7 ,1592.1 ,303.2 
392,YIF1A,"Yip1 interacting factor homolog A (S. cerevisiae)",10897,3,373.3,1288.3 ,761.3 ,1793.4 ,760.1 ,2699.9 ,3537.3 ,,1153.8 ,,,3752.7 ,1787.6 ,2257.6 ,3645.0 
393,DAXX,"death-domain associated protein",1616,3,373.4,,1348.4 ,3762.0 ,10133.9 ,3179.3 ,10195.7 ,,1824.1 ,,,,,,
394,ATP13A1,"ATPase type 13A1",57130,3,373.5,1886.0 ,1863.3 ,1407.9 ,2192.2 ,197.6 ,2541.2 ,289.7 ,704.5 ,545.6 ,836.2 ,1404.0 ,621.8 ,248.8 ,731.0 
395,CDK2AP2,"cyclin-dependent kinase 2 associated protein 2",10263,3,373.6,8455.0 ,4677.9 ,2797.1 ,17741.0 ,2462.7 ,7711.6 ,,46.7 ,,,,,,
396,SRA1,"steroid receptor RNA activator 1",10011,3,373.6,877.0 ,835.2 ,2091.5 ,2818.0 ,3860.9 ,11584.0 ,,,,,,,,
397,RPL3,"ribosomal protein L3",6122,3,374.2,1492.9 ,1561.5 ,,93.2 ,536.1 ,,,212.2 ,1677.5 ,488.1 ,1197.7 ,1613.4 ,2059.4 ,
398,AARS,"alanyl-tRNA synthetase",16,3,374.3,181.6 ,310.5 ,68.9 ,119.8 ,105.7 ,1986.0 ,1143.4 ,1062.4 ,175.0 ,205.8 ,96.1 ,119.7 ,1801.3 ,1074.3 
399,CALR,"calreticulin",811,2,374.7,68.2 ,30.3 ,104.9 ,95.7 ,203.2 ,2501.9 ,11226.4 ,394.9 ,134.4 ,432.2 ,423.0 ,1021.0 ,,
400,CHMP2A,"charged multivesicular body protein 2A",27243,3,375.8,1177.1 ,891.9 ,383.9 ,4592.8 ,2153.0 ,1132.4 ,4172.5 ,2568.3 ,5405.1 ,5343.0 ,1817.2 ,2030.5 ,1254.7 ,4094.0 
401,DAP,"death-associated protein",1611,3,377.8,1940.0 ,4746.2 ,3733.8 ,1738.9 ,2470.1 ,11022.4 ,3008.0 ,1054.7 ,,,,,,
402,DNAJC5,"DnaJ (Hsp40) homolog, subfamily C, member 5",80331,3,377.8,3447.8 ,130.0 ,981.5 ,4270.5 ,1499.4 ,1108.4 ,1533.0 ,,5045.8 ,9818.5 ,,,,
403,100133660,"&nbsp;",100133660,0,378.2,,,,,,,,,,,,,,
404,TMEM214,"transmembrane protein 214",54867,3,380.4,436.5 ,2461.5 ,4641.4 ,5960.3 ,1531.1 ,2658.5 ,397.7 ,110.5 ,243.2 ,203.7 ,,,,
405,ICMT,"isoprenylcysteine carboxyl methyltransferase",23463,3,380.5,1299.3 ,397.5 ,391.6 ,4957.4 ,6047.2 ,1991.4 ,1372.0 ,7646.5 ,3025.4 ,4203.8 ,11133.8 6319.6 ,11742.6 3349.4 ,4268.5 ,4751.3 
406,CWC25,"CWC25 spliceosome-associated protein homolog (S. cerevisiae)",54883,3,381.9,2531.8 ,19420.6 ,6925.1 ,11241.9 ,6982.3 ,10443.5 ,7031.6 ,6283.0 ,,,,,,
407,SPTLC2,"serine palmitoyltransferase, long chain base subunit 2",9517,3,383.9,492.4 ,594.9 ,3720.2 ,5216.6 ,1983.4 ,1072.8 ,3604.0 ,3254.0 ,1717.4 ,3576.2 ,7790.4 ,9112.7 ,1688.1 ,168.7 
408,ILF3,"interleukin enhancer binding factor 3, 90kDa",3609,3,384.2,214.5 ,695.3 ,1799.7 ,1014.0 ,1927.6 ,1554.6 ,,678.4 ,,,,,,
409,MYH9,"myosin, heavy chain 9, non-muscle",4627,3,384.2,161.6 ,124.7 ,2924.3 ,1806.1 ,,3431.9 ,2422.6 ,2765.4 ,,,,,,906.7 
410,ALYREF,"Aly/REF export factor",10189,3,385.0,297.9 ,387.8 ,,,749.1 ,4055.5 ,,,,,,,,
411,LMNB2,"lamin B2",84823,3,385.1,1255.1 ,523.3 ,4886.0 ,1861.0 ,2557.8 ,2818.3 ,1971.6 ,2906.4 ,2856.5 4516.5 ,972.9 11069.3 ,6877.1 3080.1 8695.1 3993.6 9182.8 16579.1 10595.7 6936.0 5981.0 11568.4 6806.0 ,5735.3 4007.8 7597.4 8596.3 9088.9 14213.3 10077.8 5967.3 7291.4 9266.3 7379.2 ,,
412,ATG7,"autophagy related 7",10533,3,386.1,897.8 ,5908.6 ,6060.1 ,10589.3 ,8250.6 ,3816.9 ,2414.8 ,,827.3 ,3309.4 ,331.7 ,481.5 ,878.5 ,1066.2 
413,SRPRB,"signal recognition particle receptor, B subunit",58477,3,386.2,701.3 ,1126.3 ,952.7 ,868.2 ,676.4 ,,,597.3 ,3475.4 ,4495.4 ,1903.3 ,2495.3 ,,
414,SHMT2,"serine hydroxymethyltransferase 2 (mitochondrial)",6472,3,386.9,903.3 ,2599.3 ,1191.3 ,1956.9 ,513.7 ,1263.5 ,,5854.5 ,,,,,735.1 ,2599.2 
415,NARF,"nuclear prelamin A recognition factor",26502,3,390.9,1778.6 ,4370.4 ,4758.3 ,15818.3 ,1213.9 ,11763.2 ,8072.9 ,1340.3 ,,,,,,
416,MON1B,"MON1 secretory trafficking family member B",22879,1,391.8,2179.6 ,1708.7 ,10764.1 ,15794.8 ,2517.3 ,14514.8 ,,6102.4 ,,,,,,
417,PANK4,"pantothenate kinase 4",55229,3,392.3,2989.4 ,2840.0 ,4648.9 ,1400.4 ,2052.4 ,2436.5 ,,4529.6 ,2352.4 ,3138.9 ,5280.4 ,5237.9 ,1371.2 ,2371.0 
418,ATG101,"autophagy related 101",60673,3,392.6,1819.1 ,250.8 ,777.1 ,3201.9 ,2240.6 ,3353.3 ,,1852.4 ,7082.3 ,11009.4 ,11443.9 ,7039.9 ,,
419,YWHAH,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta",7533,3,393.5,1329.8 ,733.2 ,598.1 ,1931.7 ,1341.3 ,,709.5 ,1944.8 ,,,,,,
420,HSPA9,"heat shock 70kDa protein 9 (mortalin)",3313,3,394.1,67.7 ,69.5 ,321.5 ,80.2 ,37.1 ,6.1 ,202.0 ,163.5 ,90.9 ,528.6 ,235.8 ,267.6 ,26.4 ,95.1 
421,ASCC2,"activating signal cointegrator 1 complex subunit 2",84164,3,396.3,806.3 ,1632.7 ,3259.8 ,1530.3 ,2715.8 ,1008.8 ,7715.7 ,2841.8 ,1109.0 ,626.8 ,,,,
422,SNX12,"sorting nexin 12",29934,2,397.0,1223.8 ,7330.8 ,1954.0 ,14087.5 ,4344.1 ,,1325.0 ,1063.7 ,2173.3 ,2941.8 ,3048.1 ,7648.2 ,,
423,EMC4,"ER membrane protein complex subunit 4",51234,3,397.6,799.0 ,471.0 ,1292.0 ,1604.7 ,4487.6 ,399.2 ,,697.1 ,2927.2 ,2135.4 ,2295.8 ,2176.3 ,,
424,CC2D1B,"coiled-coil and C2 domain containing 1B",200014,3,397.9,4575.5 ,10914.9 ,3582.8 ,3279.7 ,594.2 ,4572.1 ,3418.8 ,1640.5 ,,,,,,
425,TXNRD1,"thioredoxin reductase 1",7296,3,398.0,202.4 ,179.9 ,667.3 ,693.5 ,79.7 ,2061.3 ,8577.9 ,,,,,,,
426,PSMD6,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6",9861,3,398.0,563.9 ,868.8 ,289.9 ,272.4 ,631.8 ,1229.2 ,145.3 ,28.6 ,17.3 ,72.7 ,386.1 ,231.1 ,,
427,GHITM,"growth hormone inducible transmembrane protein",27069,3,398.2,484.9 ,563.5 ,1260.6 ,3182.3 ,844.3 ,1302.6 ,1268.9 ,419.8 ,1065.5 6090.1 ,1076.4 5334.8 ,919.1 ,650.0 ,,
428,MRPL12,"mitochondrial ribosomal protein L12",6182,3,399.4,3882.1 ,201.6 ,835.8 ,844.6 ,2818.1 ,990.6 ,1067.6 ,573.2 ,3688.8 ,5503.8 ,3632.7 ,5536.8 ,1455.1 ,4562.9 
429,FLAD1,"flavin adenine dinucleotide synthetase 1",80308,3,401.2,6798.6 ,1412.8 ,2092.5 ,16271.4 ,2197.4 ,7033.4 ,,1118.4 ,5415.1 5174.1 ,11345.2 1790.3 ,2937.0 ,2468.1 ,1606.1 ,3146.4 
430,IDH3B,"isocitrate dehydrogenase 3 (NAD+) beta",3420,3,401.4,206.7 ,124.7 ,674.3 ,384.2 ,789.4 ,2137.3 ,719.5 ,436.7 ,4124.3 ,5469.4 ,923.0 ,1693.1 ,262.8 ,474.3 
431,GUCD1,"guanylyl cyclase domain containing 1",83606,3,401.6,2240.9 ,3306.1 ,5065.2 ,1563.5 ,1415.1 ,14378.3 ,10993.7 ,2863.3 ,4484.6 ,11598.3 ,,,,
432,OTUD5,"OTU deubiquitinase 5",55593,3,401.6,737.0 ,2829.0 ,,,,9002.0 ,,,,,,,,
433,NDUFS2,"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)",4720,3,401.8,131.5 ,126.6 ,64.9 ,620.1 ,444.5 ,1164.7 ,,232.5 ,1569.2 ,12042.9 ,853.5 2076.4 ,2053.5 2874.7 ,,
434,RNF10,"ring finger protein 10",9921,3,402.1,287.1 ,2057.7 ,701.2 ,5309.3 ,323.0 ,8164.7 ,6915.8 ,1851.2 ,3350.1 ,1789.4 ,,,920.1 ,156.8 
435,TPM3,"tropomyosin 3",7170,3,403.4,463.2 ,62.1 ,1068.8 ,46.5 ,,,,,,,,,,
436,MAPRE1,"microtubule-associated protein, RP/EB family, member 1",22919,3,404.1,59.6 ,817.8 ,265.6 ,1586.8 ,632.0 ,,81.2 ,56.7 ,,,,,3772.0 ,2493.7 
437,TAGLN2,"transgelin 2",8407,3,404.5,3548.2 ,1204.0 ,2560.3 ,354.8 ,3626.9 ,2632.0 ,,,,,,,,
438,RAD23A,"RAD23 homolog A (S. cerevisiae)",5886,3,406.2,1630.4 ,3264.2 ,2689.9 ,2546.7 ,5415.3 ,1664.8 ,,2706.0 ,,,,,,
439,HNRNPD,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",3184,3,407.2,764.5 ,1296.3 ,1058.4 ,2301.3 ,411.4 ,3202.8 ,1013.5 ,527.8 ,,,297.0 ,105.3 ,,
440,ILK,"integrin-linked kinase",3611,3,408.3,1200.7 ,1229.0 ,766.9 ,436.0 ,1367.0 ,6256.8 ,485.4 ,2336.2 ,4081.0 ,12048.7 ,4731.6 ,4490.9 ,,
441,ERGIC3,"ERGIC and golgi 3",51614,3,410.0,759.7 ,1705.7 ,336.5 ,2978.3 ,3418.3 ,12060.2 ,,602.8 ,1865.1 ,4905.4 ,2600.8 ,5876.4 ,,
442,PSMB4,"proteasome (prosome, macropain) subunit, beta type, 4",5692,3,410.1,225.1 ,569.2 ,60.3 ,211.2 ,1239.8 ,4196.4 ,297.1 ,12.7 ,,162.0 ,,,19.4 ,1073.3 
443,POLR2C,"polymerase (RNA) II (DNA directed) polypeptide C, 33kDa",5432,3,412.3,383.7 ,1404.1 ,1037.5 ,17679.0 ,2082.1 ,6913.3 ,2008.3 ,1212.6 ,2491.7 ,3263.7 ,,,3749.4 ,2121.2 
444,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1",6599,3,412.5,1450.0 ,1167.5 ,1206.0 ,287.3 ,1765.4 ,4045.9 ,,3328.6 ,,,,,,1110.4 
445,MORC2,"MORC family CW-type zinc finger 2",22880,3,412.5,546.9 ,1198.4 ,903.6 ,1768.1 ,636.1 ,1825.2 ,,4046.0 ,,,,,,
446,COPG1,"coatomer protein complex, subunit gamma 1",22820,3,413.9,49.3 ,605.4 ,61.0 ,357.4 ,28.5 ,409.0 ,1359.5 ,,,,,,,
447,BSG,"basigin (Ok blood group)",682,3,413.9,1035.6 ,1104.5 ,274.3 ,992.1 ,890.3 ,,691.6 ,1945.4 ,,,,,,
448,PPP2R5D,"protein phosphatase 2, regulatory subunit B', delta",5528,2,414.6,587.4 ,206.0 ,754.0 ,1017.6 ,516.1 ,9502.8 ,5555.6 ,541.6 ,871.9 ,4610.2 ,923.5 ,82.2 ,,607.6 
449,ARF3,"ADP-ribosylation factor 3",377,3,415.2,318.7 ,550.3 ,1313.5 ,9422.8 ,1129.8 ,2117.6 ,,8421.9 ,,,,,,
450,PI4KA,"phosphatidylinositol 4-kinase, catalytic, alpha",5297,3,416.0,611.9 ,1564.0 ,4841.5 ,3749.0 ,940.4 ,,2006.5 ,,2044.2 ,2016.1 ,259.9 ,208.7 ,,
451,FBXW2,"F-box and WD repeat domain containing 2",26190,3,417.9,207.9 ,13737.9 ,3176.8 ,3149.8 ,1200.7 ,226.3 ,1788.0 ,3006.4 ,,,,,,
452,TECR,"trans-2,3-enoyl-CoA reductase",9524,3,418.1,2047.4 ,1986.8 ,300.8 ,3303.8 ,1298.6 ,4260.9 ,3227.7 ,2270.4 ,632.8 ,772.9 ,1691.8 ,2180.9 ,831.4 ,1942.1 
453,SYNGR2,"synaptogyrin 2",9144,3,418.5,1537.6 ,1928.6 ,659.4 ,3858.9 ,1887.8 ,,,4847.5 5289.6 ,,,,,,
454,NAGK,"N-acetylglucosamine kinase",55577,3,419.0,610.9 ,5371.1 ,2930.9 ,1337.3 ,3102.5 ,10018.7 ,,,5776.4 ,6421.9 ,5640.9 ,4053.5 ,,
455,MGAT4B,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B",11282,3,419.0,2670.8 ,4565.4 ,2081.2 ,1058.4 ,4941.2 ,4351.2 ,1811.8 ,,,,,,,
456,UBE4B,"ubiquitination factor E4B",10277,1,419.7,705.8 ,384.9 ,344.9 ,5879.4 ,964.5 ,5325.6 ,4175.2 ,78.2 ,29.3 ,12.0 ,113.7 ,370.2 ,,178.1 
457,SENP3,"SUMO1/sentrin/SMT3 specific peptidase 3",26168,3,419.7,485.6 ,453.7 ,5092.3 ,3063.7 ,1030.0 ,2748.5 ,,,,,,,,
458,FAM219A,"family with sequence similarity 219, member A",203259,3,421.4,6043.0 ,7145.8 ,,9666.3 ,10896.2 ,9566.9 ,4747.7 ,,,,,,,
459,VIMP,"VCP-interacting membrane protein",55829,3,421.8,505.6 ,618.3 ,1861.4 ,939.9 ,2299.6 ,3797.5 ,1501.1 ,5556.0 ,,,,,,
460,EIF3D,"eukaryotic translation initiation factor 3, subunit D",8664,3,423.7,358.3 ,249.6 ,22.4 ,85.8 ,587.8 ,6223.8 ,,512.5 ,337.0 ,844.9 ,61.4 ,90.3 ,,2059.4 
461,WBP11,"WW domain binding protein 11",51729,3,424.3,2030.2 ,917.0 ,591.0 ,4379.9 ,3874.4 ,2761.9 ,,,,,,,,
462,MCM7,"minichromosome maintenance complex component 7",4176,3,431.0,977.2 ,1632.5 ,925.5 ,1312.3 ,2681.5 ,3700.1 ,,2452.2 ,843.3 ,1953.1 ,225.8 ,170.0 ,,2024.7 
463,GDI2,"GDP dissociation inhibitor 2",2665,3,432.2,627.6 ,2026.2 ,244.8 ,175.1 ,123.9 ,,275.9 ,96.8 ,,,,,,
464,NELFB,"negative elongation factor complex member B",25920,3,432.3,1446.8 ,1318.2 ,117.8 ,42.8 ,1388.9 ,11434.5 ,495.3 ,1465.8 ,1229.6 ,6875.5 ,,,,
465,AP3D1,"adaptor-related protein complex 3, delta 1 subunit",8943,1,432.9,301.8 ,184.1 ,1121.4 ,1284.5 ,579.8 ,1843.0 ,213.4 ,,,,,,1515.3 ,1846.9 
466,FKBP4,"FK506 binding protein 4, 59kDa",2288,3,433.0,342.9 ,159.4 ,164.2 ,82.2 ,697.0 ,1179.3 ,226.9 ,1093.2 ,556.5 ,846.3 ,199.4 ,477.6 ,,
467,OAZ2,"ornithine decarboxylase antizyme 2",4947,1,433.9,1956.4 ,230.0 ,2271.7 ,13334.9 ,,1976.7 ,1562.4 ,,,,,,,
468,NANS,"N-acetylneuraminic acid synthase",54187,3,434.4,89.1 ,97.5 ,698.8 ,1098.6 ,408.4 ,488.9 ,62.5 ,67.9 ,7746.7 ,9375.7 ,,,,
469,CYB561D2,"cytochrome b561 family, member D2",11068,3,435.6,2776.0 ,1556.5 ,2904.3 ,4525.9 ,5425.4 ,7672.3 ,,,,,,,,
470,PSMA3,"proteasome (prosome, macropain) subunit, alpha type, 3",5684,3,436.4,1055.2 ,1572.2 ,8739.5 ,505.7 ,,190.9 ,115.7 ,,72.6 ,762.3 ,471.2 ,634.8 ,21.8 ,736.6 
471,GDE1,"glycerophosphodiester phosphodiesterase 1",51573,2,437.4,1238.1 ,493.5 ,1324.7 ,6350.0 ,5536.5 ,1322.6 ,2126.4 ,5529.6 ,2369.2 ,9980.3 ,4593.4 12843.0 8858.1 12587.9 ,2891.3 9067.0 13401.9 17051.9 ,,
472,IMMT,"inner membrane protein, mitochondrial",10989,3,439.8,352.2 ,830.0 ,345.8 ,967.6 ,342.3 ,229.1 ,101.9 ,1111.4 ,1087.2 ,1254.1 ,618.2 1011.1 ,1029.4 1530.2 ,,
473,EIF4E2,"eukaryotic translation initiation factor 4E family member 2",9470,3,441.5,839.6 ,712.5 ,406.2 ,665.7 ,,5854.1 ,1181.1 ,,,,10863.5 ,8517.6 ,,
474,C9orf69,"chromosome 9 open reading frame 69",90120,3,441.6,,1953.8 ,2472.7 ,16037.5 ,2751.9 ,,,,,,,,,
475,SSNA1,"Sjogren syndrome nuclear autoantigen 1",8636,3,444.6,1881.4 ,1215.9 ,1033.0 ,6991.0 ,,5955.5 ,8892.6 ,,,,,,,
476,PPP5C,"protein phosphatase 5, catalytic subunit",5536,2,444.9,602.6 ,110.3 ,432.0 ,141.5 ,695.0 ,4926.3 ,,398.3 ,1583.7 ,1225.6 ,9670.8 ,5144.3 ,3933.1 ,2396.5 
477,FBXW5,"F-box and WD repeat domain containing 5",54461,3,444.9,6443.3 ,507.9 ,1018.2 ,16413.5 ,1699.7 ,12495.3 ,1070.5 ,,1332.6 ,6620.9 ,,,,
478,HMG20B,"high mobility group 20B",10362,3,445.1,5541.1 ,1993.1 ,2538.0 ,2961.8 ,5745.6 ,9735.1 ,5044.1 ,2852.5 ,,,,,,
479,TUBG1,"tubulin, gamma 1",7283,3,446.0,1368.3 ,1069.3 ,919.6 ,4973.0 ,2031.3 ,697.8 ,1163.2 ,1601.2 ,2577.1 ,2835.4 ,,,,3035.6 
480,NCL,"nucleolin",4691,3,446.4,965.3 ,136.0 ,106.0 ,147.4 ,74.6 ,2422.7 ,,,,,,,,
481,EMC1,"ER membrane protein complex subunit 1",23065,3,446.8,93.3 ,3691.0 ,1986.6 ,204.4 ,449.5 ,759.7 ,360.7 ,372.7 ,45.9 ,28.2 ,147.8 ,286.9 ,,
482,MGAT1,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",4245,3,447.5,813.5 ,284.3 ,1488.9 ,10498.0 ,195.0 ,5460.2 ,,5078.7 ,4105.3 ,5409.8 ,8479.8 7780.5 ,8281.6 4193.6 ,,
483,SLC25A1,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",6576,3,448.1,3255.2 ,1171.7 ,,,,,,,,,,,4237.5 ,
484,LAMP1,"lysosomal-associated membrane protein 1",3916,3,448.2,351.1 ,321.5 ,157.5 ,295.8 ,1220.9 ,7938.4 ,981.7 ,1974.8 3433.0 ,,,,,,
485,KPNA1,"karyopherin alpha 1 (importin alpha 5)",3836,3,448.3,361.6 ,698.7 ,2961.3 ,259.2 ,5885.2 ,268.6 ,777.4 ,,,,,,,
486,GYS1,"glycogen synthase 1 (muscle)",2997,3,452.6,1037.7 ,648.9 ,4909.1 ,5932.0 ,6301.6 ,5676.2 ,,,1926.4 ,7170.7 ,1192.1 ,472.8 ,894.5 531.6 ,
487,SAMM50,"SAMM50 sorting and assembly machinery component",25813,3,453.9,552.6 ,592.1 ,115.9 ,1741.6 ,636.1 ,1498.1 ,4479.0 ,76.8 ,,,2649.9 ,1750.3 ,335.8 ,2550.9 
488,M6PR,"mannose-6-phosphate receptor (cation dependent)",4074,3,456.4,160.5 ,938.6 ,795.6 ,1688.1 ,339.1 ,8840.8 ,3206.5 ,2686.9 ,,,,,,
489,IMP4,"IMP4, U3 small nucleolar ribonucleoprotein",92856,3,456.6,752.0 ,574.2 ,1072.1 ,3176.1 ,1984.4 ,2893.3 ,,1307.0 ,3789.5 ,7321.8 ,4035.1 ,4558.8 ,3580.0 ,3556.9 
490,TM9SF2,"transmembrane 9 superfamily member 2",9375,3,457.7,847.8 ,1182.1 ,974.5 ,4175.9 ,150.2 ,4482.2 ,1591.2 ,1341.1 ,,,2648.8 ,2488.7 ,,
491,MAN1B1,"mannosidase, alpha, class 1B, member 1",11253,3,457.9,5034.7 ,353.1 ,2028.3 ,248.4 ,138.3 ,,3235.9 ,6758.8 ,1340.6 ,2370.7 ,5350.9 10467.8 ,3199.0 4954.6 ,,
492,KIAA2013,"KIAA2013",90231,3,458.4,10582.1 ,1470.6 ,942.2 ,891.9 ,956.8 ,1247.4 ,4687.9 ,,2781.8 ,389.1 ,6940.9 ,8036.2 ,,
493,DKC1,"dyskeratosis congenita 1, dyskerin",1736,3,458.9,637.5 ,1960.8 ,1485.2 ,2394.8 ,1985.1 ,4412.8 ,1500.0 ,1824.2 ,,3386.5 ,137.4 ,215.5 ,4000.2 ,3799.0 
494,CLCC1,"chloride channel CLIC-like 1",23155,2,459.3,2110.7 ,17064.2 ,4456.3 ,12419.4 ,2994.5 ,5486.5 ,5814.8 ,,,,,,,
495,CCM2,"cerebral cavernous malformation 2",83605,3,459.8,911.1 ,618.5 ,1947.6 ,2093.1 ,7641.9 ,,500.0 ,,,,,,,
496,TIMM44,"translocase of inner mitochondrial membrane 44 homolog (yeast)",10469,3,460.9,2555.4 ,1815.9 ,493.6 ,2124.2 ,4906.6 ,1601.2 ,4297.4 ,1380.1 ,2753.9 ,3004.3 ,2587.3 ,1990.7 ,2035.6 ,2802.8 
497,CSNK2A1,"casein kinase 2, alpha 1 polypeptide",1457,3,461.2,320.7 ,795.3 ,10613.2 ,3161.5 ,1414.6 ,1584.6 ,344.9 ,,678.1 ,3244.4 ,519.0 ,278.8 ,922.4 ,1299.3 
498,G6PD,"glucose-6-phosphate dehydrogenase",2539,3,462.3,382.2 ,1212.9 ,2187.2 ,15241.2 ,3395.5 ,1215.8 ,,9425.3 ,5700.3 ,4867.3 ,3081.8 ,2575.7 ,26.7 ,520.2 
499,TRAPPC4,"trafficking protein particle complex 4",51399,3,462.4,287.9 ,265.8 ,1010.0 ,4402.5 ,3751.6 ,3808.1 ,1657.8 ,4774.6 ,4729.1 ,7333.3 ,8665.5 ,5915.0 ,922.7 ,3738.0 
500,TINF2,"TERF1 (TRF1)-interacting nuclear factor 2",26277,3,462.9,1035.5 ,4511.3 ,7920.8 ,13020.0 ,7020.7 ,11448.8 ,,,,,,,,

