GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 12:37:14 GMT 2016

Gene	Score	Description
CXorf40B
CYCS	GO:0000159	GO:0000737	GO:0004721	GO:0004722	GO:0006308	GO:0006309	GO:0006919	GO:0006921	GO:0008287	GO:0010950	GO:0010952	GO:0015980	GO:0030262	GO:0031638	GO:0031966	GO:0043280	GO:0043281	GO:0052547	GO:0052548	GO:0097193	GO:0097194	GO:0097202	GO:2000116	GO:2001056
CYP1B1
DCN	GO:0030198	GO:0043062
DDX5	GO:0000375	GO:0000377	GO:0000398	GO:0005681	GO:0006397	GO:0008380	GO:0030522	GO:0042770	GO:0045667	GO:0071013	GO:0080135	GO:0097193	GO:2001020
DFFA	GO:0000737	GO:0006308	GO:0006309	GO:0006921	GO:0009895	GO:0030262	GO:0031330	GO:0051052	GO:0051053	GO:0097194	GO:1900117
DFFB	GO:0000737	GO:0006308	GO:0006309	GO:0006921	GO:0030262	GO:0097194
DLST	GO:0015980
DMD	GO:0001933	GO:0010563	GO:0018105	GO:0018209	GO:0030198	GO:0032386	GO:0032844	GO:0034762	GO:0034765	GO:0042326	GO:0043062	GO:0043269	GO:0045664	GO:0045936	GO:0060048
DST	GO:0030198	GO:0043062
EIF2S2	GO:0006413
ENDOG
ERGIC2
ERH
FADD	GO:0001776	GO:0001819	GO:0001959	GO:0002020	GO:0002218	GO:0002221	GO:0002224	GO:0002520	GO:0002521	GO:0002573	GO:0002694	GO:0002696	GO:0002697	GO:0002711	GO:0002756	GO:0002758	GO:0002761	GO:0002763	GO:0005126	GO:0006919	GO:0007249	GO:0008625	GO:0009612	GO:0009615	GO:0010942	GO:0010950	GO:0010952	GO:0010954	GO:0030097	GO:0030099	GO:0030162	GO:0030225	GO:0031349	GO:0031638	GO:0032637	GO:0032640	GO:0032677	GO:0032680	GO:0032757	GO:0032813	GO:0032844	GO:0032943	GO:0032944	GO:0034138	GO:0034142	GO:0035666	GO:0038034	GO:0042098	GO:0042110	GO:0043065	GO:0043068	GO:0043122	GO:0043123	GO:0043280	GO:0043281	GO:0045088	GO:0045089	GO:0045123	GO:0045637	GO:0045639	GO:0045649	GO:0045862	GO:0046651	GO:0048534	GO:0048872	GO:0050670	GO:0050863	GO:0050865	GO:0050867	GO:0050870	GO:0050900	GO:0051249	GO:0051251	GO:0052547	GO:0052548	GO:0060759	GO:0070227	GO:0070231	GO:0070265	GO:0070266	GO:0070613	GO:0070661	GO:0071214	GO:0071260	GO:0071496	GO:0071887	GO:0072678	GO:0097191	GO:0097192	GO:0097202	GO:0097285	GO:0097300	GO:2000116	GO:2001056	GO:2001233	GO:2001235	GO:2001236	GO:2001238	GO:2001239
FAM120A
FAM129A	GO:0001933	GO:0010563	GO:0034976	GO:0042326	GO:0045936
FAM168B
FAS	GO:0006919	GO:0009612	GO:0010942	GO:0010950	GO:0010952	GO:0031638	GO:0038034	GO:0043065	GO:0043068	GO:0043280	GO:0043281	GO:0052547	GO:0052548	GO:0070265	GO:0070266	GO:0071214	GO:0071260	GO:0071496	GO:0097191	GO:0097192	GO:0097202	GO:0097300	GO:2000116	GO:2001056	GO:2001233	GO:2001236	GO:2001239
FASLG	GO:0001525	GO:0006919	GO:0007249	GO:0008625	GO:0010942	GO:0010950	GO:0010952	GO:0031638	GO:0038034	GO:0043065	GO:0043068	GO:0043122	GO:0043123	GO:0043280	GO:0043281	GO:0045765	GO:0052547	GO:0052548	GO:0070227	GO:0070231	GO:0070265	GO:0070266	GO:0071887	GO:0097191	GO:0097192	GO:0097202	GO:0097285	GO:0097300	GO:1901342	GO:2000116	GO:2001056	GO:2001233	GO:2001236	GO:2001239
FBN1	GO:0030198	GO:0043062	GO:0051235
FBXW7	GO:0007173	GO:0009411	GO:0010883	GO:0019216	GO:0019915	GO:0030162	GO:0031396	GO:0031398	GO:0034644	GO:0038127	GO:0042176	GO:0043410	GO:0045017	GO:0045833	GO:0046486	GO:0046890	GO:0050673	GO:0050730	GO:0051052	GO:0051053	GO:0051235	GO:0070613	GO:0071214	GO:0071478	GO:0080135
GBAS	GO:0051348
GLTSCR2
GULP1	GO:0006909
HBB	GO:0006809	GO:0010942	GO:0034599	GO:0044445	GO:0045428	GO:0045429	GO:0046209
HCFC2
HMOX2
HNRNPH3	GO:0000375	GO:0000377	GO:0000398	GO:0005681	GO:0006397	GO:0008380	GO:0030855
HNRNPUL1	GO:0000375	GO:0000377	GO:0000398	GO:0006397	GO:0008380	GO:0009615
HSP90AB1	GO:0001959	GO:0002429	GO:0002431	GO:0002433	GO:0002768	GO:0006809	GO:0006909	GO:0009895	GO:0030162	GO:0030522	GO:0031330	GO:0035872	GO:0038093	GO:0038094	GO:0038096	GO:0042176	GO:0045088	GO:0045428	GO:0045429	GO:0046209	GO:0060759	GO:0070613
ID2	GO:0007346	GO:0030855	GO:0045664	GO:0050673	GO:0061180	GO:0071156	GO:0071158	GO:0090068	GO:2000045
IKBKB	GO:0001819	GO:0002218	GO:0002221	GO:0002224	GO:0002429	GO:0002753	GO:0002755	GO:0002756	GO:0002758	GO:0002768	GO:0004674	GO:0006954	GO:0007249	GO:0008385	GO:0009615	GO:0009898	GO:0018105	GO:0018209	GO:0019901	GO:0030522	GO:0031349	GO:0032479	GO:0032481	GO:0032606	GO:0034134	GO:0034138	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0034612	GO:0035631	GO:0035666	GO:0035872	GO:0038093	GO:0038095	GO:0038123	GO:0038124	GO:0038179	GO:0043122	GO:0043123	GO:0043235	GO:0044445	GO:0045088	GO:0045089	GO:0046982	GO:0048011	GO:0050851	GO:0050852	GO:0051091	GO:0051092	GO:0070423	GO:0071356	GO:0098562	GO:1902554
IKBKG	GO:0000187	GO:0001819	GO:0002218	GO:0002221	GO:0002224	GO:0002429	GO:0002753	GO:0002755	GO:0002756	GO:0002758	GO:0002768	GO:0006954	GO:0007249	GO:0007254	GO:0008385	GO:0009615	GO:0030522	GO:0031098	GO:0031349	GO:0032147	GO:0032479	GO:0032481	GO:0032606	GO:0034134	GO:0034138	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0035666	GO:0035872	GO:0038093	GO:0038095	GO:0038123	GO:0038124	GO:0043122	GO:0043123	GO:0043405	GO:0043406	GO:0043410	GO:0044445	GO:0045088	GO:0045089	GO:0046982	GO:0050851	GO:0050852	GO:0051091	GO:0051092	GO:0051403	GO:0070423	GO:0071900	GO:0071902	GO:1902554
IL1A	GO:0001525	GO:0001819	GO:0006954	GO:0007346	GO:0010638	GO:0032663	GO:0038034	GO:0045765	GO:0045766	GO:0070201	GO:0090068	GO:0097191	GO:0097192	GO:1901099	GO:1901342	GO:2001233	GO:2001234	GO:2001236	GO:2001237	GO:2001239	GO:2001240
IL1B	GO:0000187	GO:0001525	GO:0001659	GO:0001819	GO:0001933	GO:0002694	GO:0002696	GO:0002697	GO:0002711	GO:0002790	GO:0002791	GO:0005126	GO:0006469	GO:0006809	GO:0006913	GO:0006954	GO:0007249	GO:0007346	GO:0008286	GO:0008645	GO:0009110	GO:0009612	GO:0009895	GO:0009896	GO:0009914	GO:0010563	GO:0010638	GO:0010817	GO:0010954	GO:0014070	GO:0015749	GO:0015758	GO:0015833	GO:0016042	GO:0019216	GO:0019915	GO:0023061	GO:0030072	GO:0030073	GO:0030162	GO:0030656	GO:0031056	GO:0031331	GO:0031349	GO:0032147	GO:0032368	GO:0032386	GO:0032635	GO:0032637	GO:0032663	GO:0032675	GO:0032677	GO:0032757	GO:0032768	GO:0032770	GO:0032844	GO:0032868	GO:0032869	GO:0032890	GO:0032943	GO:0032944	GO:0033044	GO:0033619	GO:0033673	GO:0035690	GO:0038034	GO:0042098	GO:0042110	GO:0042176	GO:0042326	GO:0042359	GO:0042362	GO:0042368	GO:0042493	GO:0042886	GO:0043122	GO:0043269	GO:0043405	GO:0043406	GO:0043410	GO:0043434	GO:0044070	GO:0045428	GO:0045429	GO:0045765	GO:0045766	GO:0045833	GO:0045862	GO:0045936	GO:0046209	GO:0046651	GO:0046879	GO:0046883	GO:0046890	GO:0050670	GO:0050727	GO:0050796	GO:0050863	GO:0050865	GO:0050867	GO:0050870	GO:0050994	GO:0050995	GO:0051091	GO:0051092	GO:0051169	GO:0051235	GO:0051249	GO:0051251	GO:0051348	GO:0070201	GO:0070613	GO:0070661	GO:0071214	GO:0071216	GO:0071260	GO:0071375	GO:0071407	GO:0071496	GO:0071900	GO:0071901	GO:0071902	GO:0090068	GO:0090087	GO:0090276	GO:0097191	GO:0097192	GO:1901099	GO:1901342	GO:1901652	GO:1901653	GO:1902532	GO:2000191	GO:2001233	GO:2001234	GO:2001236	GO:2001237	GO:2001239	GO:2001240
IL1R1	GO:0070498	GO:0070555	GO:0071347
IL1RAP	GO:0006954
IL3	GO:0002520	GO:0005126	GO:0030097	GO:0048534	GO:0050730	GO:0051052
IL3RA
IRAK1	GO:0000187	GO:0001959	GO:0002218	GO:0002221	GO:0002224	GO:0002753	GO:0002755	GO:0002756	GO:0002758	GO:0004674	GO:0007249	GO:0007250	GO:0007254	GO:0016881	GO:0019787	GO:0030522	GO:0031098	GO:0031349	GO:0032088	GO:0032147	GO:0034134	GO:0034138	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0035666	GO:0035872	GO:0038061	GO:0038123	GO:0038124	GO:0038179	GO:0043122	GO:0043123	GO:0043235	GO:0043405	GO:0043406	GO:0043410	GO:0045088	GO:0045089	GO:0046777	GO:0046982	GO:0048011	GO:0051091	GO:0051092	GO:0051403	GO:0060759	GO:0070423	GO:0070498	GO:0070555	GO:0071216	GO:0071347	GO:0071900	GO:0071902	GO:1901222
IRAK2	GO:0000187	GO:0001959	GO:0002218	GO:0002221	GO:0002224	GO:0002753	GO:0002755	GO:0002756	GO:0002758	GO:0006954	GO:0007249	GO:0007254	GO:0030522	GO:0031098	GO:0031349	GO:0032088	GO:0032147	GO:0034134	GO:0034138	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0035666	GO:0035872	GO:0038123	GO:0038124	GO:0043405	GO:0043406	GO:0043410	GO:0045088	GO:0045089	GO:0046982	GO:0051091	GO:0051092	GO:0051403	GO:0060759	GO:0070423	GO:0070498	GO:0070555	GO:0071347	GO:0071900	GO:0071902
IRAK3	GO:0001933	GO:0001959	GO:0002218	GO:0002221	GO:0002224	GO:0002697	GO:0002755	GO:0002758	GO:0004674	GO:0006469	GO:0009615	GO:0009895	GO:0010563	GO:0014070	GO:0031349	GO:0032088	GO:0032635	GO:0032640	GO:0032675	GO:0032680	GO:0032984	GO:0033673	GO:0034121	GO:0042176	GO:0042326	GO:0043241	GO:0043405	GO:0045088	GO:0045089	GO:0045936	GO:0046982	GO:0051091	GO:0051092	GO:0051129	GO:0051348	GO:0060759	GO:0070498	GO:0070555	GO:0071347	GO:0071900	GO:0071901	GO:1902532
IRAK4	GO:0002218	GO:0002221	GO:0002224	GO:0002755	GO:0002758	GO:0004674	GO:0031349	GO:0034134	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0038123	GO:0038124	GO:0045088	GO:0045089
ITGA6	GO:0010942	GO:0030198	GO:0043062	GO:0043065	GO:0043068	GO:0050900	GO:0097191	GO:2001233	GO:2001234	GO:2001236	GO:2001237
JAG1	GO:0001525	GO:0002520	GO:0030097	GO:0030855	GO:0048534
KAT7
KCTD12
KDM6A
KLC1
KPNA6	GO:0006605	GO:0006913	GO:0044744	GO:0051169
LYRM1
MAN2A1
MBNL2
MCMBP
MEST
MGAT4A
MLH3
MON2
MPHOSPH9
MRPL16
MRPS17
MXI1
MYD88	GO:0001819	GO:0002218	GO:0002221	GO:0002224	GO:0002755	GO:0002758	GO:0005126	GO:0006954	GO:0007249	GO:0009612	GO:0031349	GO:0032479	GO:0032481	GO:0032606	GO:0032635	GO:0032675	GO:0032813	GO:0034134	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0038123	GO:0038124	GO:0038179	GO:0043122	GO:0043123	GO:0043487	GO:0043488	GO:0043489	GO:0045088	GO:0045089	GO:0048011	GO:0048255	GO:0050727	GO:0070555	GO:0070935	GO:0071214	GO:0071260	GO:0071496
NACA	GO:0097285
NDUFC2
NDUFS5
NFKB1	GO:0001819	GO:0002218	GO:0002221	GO:0002224	GO:0002429	GO:0002755	GO:0002756	GO:0002758	GO:0002768	GO:0006954	GO:0009110	GO:0009612	GO:0010883	GO:0016051	GO:0019216	GO:0019915	GO:0030656	GO:0031349	GO:0032368	GO:0032369	GO:0032479	GO:0032481	GO:0032606	GO:0032768	GO:0032885	GO:0033619	GO:0034134	GO:0034138	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0035666	GO:0038093	GO:0038095	GO:0038123	GO:0038124	GO:0038179	GO:0042359	GO:0042362	GO:0042368	GO:0045088	GO:0045089	GO:0045833	GO:0046890	GO:0048011	GO:0050851	GO:0050852	GO:0051091	GO:0051092	GO:0051235	GO:0070555	GO:0071214	GO:0071260	GO:0071347	GO:0071496
NFKBIA	GO:0001819	GO:0002218	GO:0002221	GO:0002224	GO:0002429	GO:0002755	GO:0002756	GO:0002758	GO:0002768	GO:0006913	GO:0007249	GO:0010883	GO:0019915	GO:0031349	GO:0031625	GO:0032088	GO:0032368	GO:0032386	GO:0032479	GO:0032481	GO:0032606	GO:0034134	GO:0034138	GO:0034142	GO:0034146	GO:0034162	GO:0034166	GO:0035666	GO:0038093	GO:0038095	GO:0038123	GO:0038124	GO:0038179	GO:0043122	GO:0043124	GO:0044389	GO:0045088	GO:0045089	GO:0048011	GO:0050851	GO:0050852	GO:0051091	GO:0051092	GO:0051169	GO:0051235	GO:0070201	GO:1902532
NGF	GO:0005126	GO:0007202	GO:0008625	GO:0010517	GO:0010518	GO:0010817	GO:0010863	GO:0010942	GO:0032147	GO:0032813	GO:0038179	GO:0043065	GO:0043068	GO:0043281	GO:0045664	GO:0048011	GO:0048015	GO:0048017	GO:0052547	GO:0052548	GO:0060191	GO:0060193	GO:0097191	GO:1900274	GO:2000116
NISCH
NKTR
NPEPPS	GO:0000209
NPTX2
NSFL1C
NTRK1	GO:0001525	GO:0007202	GO:0010517	GO:0010518	GO:0010863	GO:0010942	GO:0032147	GO:0038179	GO:0043068	GO:0043235	GO:0043410	GO:0045664	GO:0045765	GO:0045766	GO:0046777	GO:0048011	GO:0048015	GO:0048017	GO:0051091	GO:0051092	GO:0051402	GO:0060191	GO:0060193	GO:0070997	GO:0097285	GO:1900274	GO:1901342
NUTF2	GO:0006913	GO:0046930	GO:0051169
ORAI2
OTUB1	GO:0000209	GO:0008234	GO:0031056	GO:0031396	GO:0031625	GO:0033044	GO:0044389	GO:0051052	GO:0051053	GO:0051129	GO:0080135	GO:2001020
PABPC1	GO:0000184	GO:0000375	GO:0000377	GO:0000398	GO:0000956	GO:0005681	GO:0006397	GO:0006401	GO:0006402	GO:0006413	GO:0008380	GO:0009895	GO:0009896	GO:0031330	GO:0031331	GO:0043487	GO:0043488	GO:0043489	GO:0048255	GO:0071013
PCDH9
PDCL3	GO:0001525	GO:0006457	GO:0030162	GO:0031396	GO:0042176	GO:0045765	GO:0045766	GO:0050673	GO:0050679	GO:0050730	GO:0070613	GO:1901342
PFDN1	GO:0006457	GO:0006458	GO:0051084
PFDN5	GO:0006457	GO:0006458	GO:0051084
PI4KA	GO:0006644	GO:0006650	GO:0006661	GO:0008654	GO:0045017	GO:0046474	GO:0046486	GO:0046488	GO:0052742
PIAS3
PIK3CA	GO:0002429	GO:0002431	GO:0002433	GO:0002694	GO:0002696	GO:0002768	GO:0005942	GO:0006644	GO:0006650	GO:0006661	GO:0006909	GO:0007173	GO:0008286	GO:0008543	GO:0008654	GO:0016303	GO:0016307	GO:0030168	GO:0032868	GO:0032869	GO:0035004	GO:0036092	GO:0038093	GO:0038094	GO:0038095	GO:0038096	GO:0038127	GO:0038179	GO:0042110	GO:0043276	GO:0043434	GO:0044344	GO:0044445	GO:0045017	GO:0046474	GO:0046486	GO:0046488	GO:0048011	GO:0048015	GO:0048017	GO:0050851	GO:0050852	GO:0050863	GO:0050865	GO:0050867	GO:0050870	GO:0050900	GO:0051249	GO:0051251	GO:0052742	GO:0060048	GO:0071375	GO:0071774	GO:1901652	GO:1901653	GO:2000209	GO:2000811
PIK3CB	GO:0000187	GO:0002429	GO:0002431	GO:0002433	GO:0002768	GO:0005942	GO:0006644	GO:0006650	GO:0006661	GO:0006909	GO:0006914	GO:0007173	GO:0008286	GO:0008543	GO:0008654	GO:0009896	GO:0010506	GO:0014065	GO:0016303	GO:0016307	GO:0030168	GO:0031331	GO:0032147	GO:0032868	GO:0032869	GO:0035004	GO:0038093	GO:0038094	GO:0038095	GO:0038096	GO:0038127	GO:0038179	GO:0043405	GO:0043406	GO:0043410	GO:0043434	GO:0044344	GO:0044445	GO:0045017	GO:0046474	GO:0046486	GO:0046488	GO:0048011	GO:0048015	GO:0048017	GO:0050851	GO:0050852	GO:0050900	GO:0052742	GO:0071375	GO:0071774	GO:0071900	GO:0071902	GO:1901652	GO:1901653
PIK3CD	GO:0002429	GO:0002520	GO:0002521	GO:0002573	GO:0002768	GO:0005942	GO:0006644	GO:0006650	GO:0006661	GO:0006954	GO:0007173	GO:0008543	GO:0008654	GO:0014065	GO:0016303	GO:0016307	GO:0030097	GO:0030099	GO:0035004	GO:0036092	GO:0038093	GO:0038095	GO:0038127	GO:0038179	GO:0042110	GO:0044344	GO:0044445	GO:0045017	GO:0045123	GO:0046474	GO:0046486	GO:0046488	GO:0048011	GO:0048015	GO:0048017	GO:0048534	GO:0050851	GO:0050852	GO:0050853	GO:0050900	GO:0052742	GO:0071774	GO:0072678
PIK3CG	GO:0005942	GO:0006644	GO:0006650	GO:0006661	GO:0006954	GO:0008654	GO:0014065	GO:0016303	GO:0016307	GO:0030168	GO:0032943	GO:0035004	GO:0042098	GO:0042110	GO:0043405	GO:0043406	GO:0043410	GO:0044445	GO:0045017	GO:0045123	GO:0046474	GO:0046486	GO:0046488	GO:0046651	GO:0048015	GO:0048017	GO:0050900	GO:0052742	GO:0060048	GO:0070661	GO:0071900	GO:0071902	GO:0072678
PIK3R1	GO:0002429	GO:0002431	GO:0002433	GO:0002694	GO:0002696	GO:0002768	GO:0005126	GO:0005942	GO:0006644	GO:0006650	GO:0006661	GO:0006909	GO:0007173	GO:0008286	GO:0008543	GO:0008645	GO:0008654	GO:0010828	GO:0014065	GO:0015749	GO:0015758	GO:0019207	GO:0019216	GO:0019902	GO:0019903	GO:0030168	GO:0032868	GO:0032869	GO:0038093	GO:0038094	GO:0038095	GO:0038096	GO:0038127	GO:0038179	GO:0042110	GO:0043434	GO:0044344	GO:0044445	GO:0045017	GO:0046326	GO:0046474	GO:0046486	GO:0046488	GO:0048011	GO:0048015	GO:0048017	GO:0050851	GO:0050852	GO:0050863	GO:0050865	GO:0050867	GO:0050870	GO:0050900	GO:0051249	GO:0051251	GO:0070201	GO:0071375	GO:0071774	GO:0090003	GO:0090150	GO:1901652	GO:1901653
PIK3R2	GO:0002429	GO:0002431	GO:0002433	GO:0002768	GO:0006644	GO:0006650	GO:0006661	GO:0006909	GO:0007173	GO:0008286	GO:0008543	GO:0008654	GO:0016303	GO:0032868	GO:0032869	GO:0035004	GO:0036092	GO:0038093	GO:0038094	GO:0038095	GO:0038096	GO:0038127	GO:0038179	GO:0043434	GO:0044344	GO:0045017	GO:0046474	GO:0046486	GO:0046488	GO:0048011	GO:0048015	GO:0048017	GO:0050851	GO:0050852	GO:0050900	GO:0052742	GO:0071375	GO:0071774	GO:1901652	GO:1901653
PIK3R3	GO:0006644	GO:0006650	GO:0006661	GO:0008286	GO:0008654	GO:0016303	GO:0032868	GO:0032869	GO:0035004	GO:0036092	GO:0043434	GO:0045017	GO:0046474	GO:0046486	GO:0046488	GO:0052742	GO:0071375	GO:1901652	GO:1901653
PIK3R5	GO:0005942	GO:0006644	GO:0006650	GO:0006661	GO:0008654	GO:0014065	GO:0030168	GO:0043405	GO:0043406	GO:0043410	GO:0044445	GO:0045017	GO:0046474	GO:0046486	GO:0046488	GO:0048015	GO:0048017	GO:0071900	GO:0071902
PITPNB
PLEKHB1
PLOD2	GO:0030198	GO:0043062
POGZ
POLR2M
PPFIA1	GO:0051129	GO:0070201	GO:0090003	GO:0090150
PPP1R7
PPP2CA	GO:0000159	GO:0000184	GO:0000956	GO:0001933	GO:0006401	GO:0006402	GO:0006469	GO:0008287	GO:0008380	GO:0008543	GO:0010563	GO:0033673	GO:0042326	GO:0043405	GO:0044344	GO:0045936	GO:0050730	GO:0051052	GO:0051129	GO:0051348	GO:0071774	GO:0071900	GO:0071901	GO:0071902	GO:1902532
PPP2CB	GO:0000159	GO:0004721	GO:0004722	GO:0008287	GO:0008543	GO:0044344	GO:0071774
PPP3CA	GO:0002768	GO:0004721	GO:0004722	GO:0008287	GO:0035690	GO:0038093	GO:0038095	GO:0042110	GO:0042493
PPP3CB	GO:0002768	GO:0002790	GO:0002791	GO:0004721	GO:0004722	GO:0008287	GO:0009914	GO:0010817	GO:0015833	GO:0019902	GO:0019903	GO:0023061	GO:0030072	GO:0030073	GO:0032844	GO:0032943	GO:0035690	GO:0038093	GO:0038095	GO:0042098	GO:0042110	GO:0042493	GO:0042886	GO:0046651	GO:0046879	GO:0046883	GO:0050796	GO:0070661	GO:0090087	GO:0090276
PPP3CC	GO:0001844	GO:0007005	GO:0007006	GO:0008637	GO:0010638	GO:0010821	GO:0010822	GO:0032386	GO:0035794	GO:0046902	GO:0051204	GO:0051205	GO:0070201	GO:0072655	GO:0090150	GO:0097193	GO:0097345	GO:1900739	GO:1900740	GO:1901028	GO:1902108	GO:1902110	GO:1902686	GO:2001233
PPP3R1	GO:0001844	GO:0002768	GO:0004721	GO:0004722	GO:0007005	GO:0007006	GO:0008287	GO:0008637	GO:0010638	GO:0010821	GO:0010822	GO:0032386	GO:0035794	GO:0038093	GO:0038095	GO:0046902	GO:0051204	GO:0051205	GO:0070201	GO:0072655	GO:0090150	GO:0097193	GO:0097345	GO:1900739	GO:1900740	GO:1901028	GO:1902108	GO:1902110	GO:1902686	GO:2001233
PPP3R2
PRKACA	GO:0002790	GO:0002791	GO:0004674	GO:0006112	GO:0006833	GO:0007173	GO:0007202	GO:0008543	GO:0009914	GO:0010517	GO:0010518	GO:0010817	GO:0010863	GO:0014070	GO:0015833	GO:0015980	GO:0016042	GO:0016051	GO:0018105	GO:0018209	GO:0019433	GO:0019901	GO:0023061	GO:0030072	GO:0030073	GO:0030162	GO:0031625	GO:0032147	GO:0032386	GO:0032844	GO:0033762	GO:0034199	GO:0034762	GO:0034765	GO:0038127	GO:0038179	GO:0042044	GO:0042176	GO:0042886	GO:0043269	GO:0043434	GO:0044344	GO:0044389	GO:0045667	GO:0046461	GO:0046464	GO:0046486	GO:0046879	GO:0046883	GO:0048011	GO:0050796	GO:0051018	GO:0060048	GO:0060191	GO:0060193	GO:0070613	GO:0071156	GO:0071158	GO:0071375	GO:0071377	GO:0071407	GO:0071774	GO:0090068	GO:0090087	GO:0090276	GO:1900274	GO:1901652	GO:1901653	GO:1902554
PRKACB	GO:0002790	GO:0002791	GO:0004674	GO:0006112	GO:0006833	GO:0007173	GO:0007202	GO:0008543	GO:0009914	GO:0010517	GO:0010518	GO:0010817	GO:0010863	GO:0015833	GO:0015980	GO:0016042	GO:0016051	GO:0019433	GO:0023061	GO:0030072	GO:0030073	GO:0031625	GO:0032147	GO:0033762	GO:0034199	GO:0038127	GO:0038179	GO:0042044	GO:0042886	GO:0043434	GO:0044344	GO:0044389	GO:0046461	GO:0046464	GO:0046486	GO:0046879	GO:0046883	GO:0048011	GO:0050796	GO:0060191	GO:0060193	GO:0071375	GO:0071377	GO:0071774	GO:0090087	GO:0090276	GO:1900274	GO:1901652	GO:1901653	GO:1902554
PRKACG	GO:0002790	GO:0002791	GO:0006112	GO:0006833	GO:0007173	GO:0007202	GO:0008543	GO:0009914	GO:0010517	GO:0010518	GO:0010817	GO:0010863	GO:0015833	GO:0015980	GO:0016042	GO:0016051	GO:0019433	GO:0023061	GO:0030072	GO:0030073	GO:0032147	GO:0033762	GO:0034199	GO:0038127	GO:0038179	GO:0042044	GO:0042886	GO:0043434	GO:0044344	GO:0046461	GO:0046464	GO:0046486	GO:0046879	GO:0046883	GO:0048011	GO:0050796	GO:0060191	GO:0060193	GO:0071375	GO:0071377	GO:0071774	GO:0090087	GO:0090276	GO:1900274	GO:1901652	GO:1901653
PRKAR1A	GO:0001933	GO:0002790	GO:0002791	GO:0004860	GO:0006112	GO:0006469	GO:0006833	GO:0007173	GO:0007202	GO:0008543	GO:0009914	GO:0010517	GO:0010518	GO:0010563	GO:0010817	GO:0010863	GO:0015833	GO:0015980	GO:0019207	GO:0019210	GO:0019901	GO:0023061	GO:0030072	GO:0030073	GO:0030291	GO:0031625	GO:0032147	GO:0033673	GO:0033762	GO:0034199	GO:0034236	GO:0038127	GO:0038179	GO:0042044	GO:0042326	GO:0042886	GO:0043434	GO:0044344	GO:0044389	GO:0045936	GO:0046879	GO:0046883	GO:0048011	GO:0050796	GO:0051018	GO:0051348	GO:0060191	GO:0060193	GO:0071375	GO:0071377	GO:0071774	GO:0071900	GO:0071901	GO:0090087	GO:0090276	GO:1900274	GO:1901652	GO:1901653	GO:1902554
PRKAR1B	GO:0001933	GO:0002790	GO:0002791	GO:0004860	GO:0006112	GO:0006469	GO:0006833	GO:0007173	GO:0007202	GO:0008543	GO:0009914	GO:0010517	GO:0010518	GO:0010563	GO:0010817	GO:0010863	GO:0015833	GO:0015980	GO:0019207	GO:0019210	GO:0019901	GO:0023061	GO:0030072	GO:0030073	GO:0030291	GO:0032147	GO:0033673	GO:0033762	GO:0034199	GO:0034236	GO:0038127	GO:0038179	GO:0042044	GO:0042326	GO:0042886	GO:0043434	GO:0044344	GO:0045936	GO:0046879	GO:0046883	GO:0048011	GO:0050796	GO:0051018	GO:0051348	GO:0060191	GO:0060193	GO:0071375	GO:0071377	GO:0071774	GO:0071900	GO:0071901	GO:0090087	GO:0090276	GO:1900274	GO:1901652	GO:1901653	GO:1902554
PRKAR2A	GO:0001933	GO:0002790	GO:0002791	GO:0004860	GO:0006112	GO:0006469	GO:0006833	GO:0007173	GO:0007202	GO:0008543	GO:0009914	GO:0010517	GO:0010518	GO:0010563	GO:0010817	GO:0010863	GO:0015833	GO:0015980	GO:0019207	GO:0019210	GO:0019901	GO:0023061	GO:0030072	GO:0030073	GO:0030291	GO:0031625	GO:0032147	GO:0033673	GO:0033762	GO:0034199	GO:0034236	GO:0038127	GO:0038179	GO:0042044	GO:0042326	GO:0042886	GO:0043434	GO:0044344	GO:0044389	GO:0045936	GO:0046879	GO:0046883	GO:0048011	GO:0050796	GO:0051018	GO:0051348	GO:0060191	GO:0060193	GO:0071375	GO:0071377	GO:0071774	GO:0071900	GO:0071901	GO:0090087	GO:0090276	GO:1900274	GO:1901652	GO:1901653	GO:1902554
